,streams_ix_x,album_artist,os,p_os,streams_ix_y,access,p_access,streams_ix,country,p_country,p_avg
10730,1135,Luanna Flood,Browser,0.0,1135,free,0.0,1135,20,0.0,0.0
9941,1815,Larissa Boggs,iOS,0.0,1815,free,0.0,1815,15,0.0,0.0
9734,1554,Angeles Suarez,Linux,0.0,1554,free,0.0,1554,29,0.0,0.0
9677,638,Yanira Moss,Linux,0.0,638,premium,0.0,638,59,0.0,0.0
9679,1781,Carmel Sewell,Linux,0.0,1781,free,0.0,1781,29,0.0,0.0
9694,696,Sybil Spencer,Linux,0.0,696,free,0.0,696,29,0.0,0.0
9693,696,Sybil Spencer,Linux,0.0,696,free,0.0,696,45,0.0,0.0
9879,2214,Eartha Pham,Linux,0.0,2214,free,0.0,2214,45,0.0,0.0
9880,2214,Eartha Pham,Linux,0.0,2214,free,0.0,2214,29,0.0,0.0
10762,782,Hana Crouch,Browser,0.0,782,free,0.0,782,20,0.0,0.0
9689,680,Casie Hairston,Linux,0.0,680,free,0.0,680,29,0.0,0.0
9688,680,Casie Hairston,Linux,0.0,680,free,0.0,680,45,0.0,0.0
11034,1974,Pasty Rock,Browser,0.0,1974,free,0.0,1974,37,0.0,0.0
9884,2041,Bob Jarrett,Linux,0.0,2041,free,0.0,2041,45,0.0,0.0
9885,2041,Bob Jarrett,Linux,0.0,2041,free,0.0,2041,29,0.0,0.0
9684,1735,Arminda Newman,Linux,0.0,1735,free,0.0,1735,29,0.0,0.0
9683,1735,Arminda Newman,Linux,0.0,1735,free,0.0,1735,45,0.0,0.0
10748,729,Phuong Gilbert,Browser,0.0,729,free,0.0,729,20,0.0,0.0
6146,305,Minh Beverly,Android,0.0,305,free,0.0,305,10,0.0,0.0
9940,57,Lavenia Godfrey,iOS,0.0,57,premium,0.0,57,59,0.0,0.0
9678,1781,Carmel Sewell,Linux,0.0,1781,free,0.0,1781,45,0.0,0.0
10795,828,Gema Curry,Browser,0.0,828,free,0.0,828,20,0.0,0.0
5012,1483,Stacee Sylvester,Mac,0.0,1483,free,0.0,1483,59,0.0,0.0
9738,1522,Cathleen Quinn,Linux,0.0,1522,free,0.0,1522,45,0.0,0.0
9788,1249,Tonia Mcintosh,Linux,0.0,1249,free,0.0,1249,45,0.0,0.0
9819,1972,Jonas England,Linux,0.0,1972,free,0.0,1972,29,0.0,0.0
10913,362,Bibi Galindo,Browser,0.0,362,free,0.0,362,20,0.0,0.0
10838,857,Jenelle Pierce,Browser,0.0,857,free,0.0,857,20,0.0,0.0
4972,947,Elidia Swain,Mac,0.0,947,free,0.0,947,59,0.0,0.0
9784,2318,Rickey Seay,Linux,0.0,2318,free,0.0,2318,29,0.0,0.0
9783,2318,Rickey Seay,Linux,0.0,2318,free,0.0,2318,45,0.0,0.0
4974,1635,Rossie Woodard,Mac,0.0,1635,premium,0.0,1635,59,0.0,0.0
10930,997,Ashleigh Mccain,Browser,0.0,997,free,0.0,997,20,0.0,0.0
10825,414,Magdalen Tuttle,Browser,0.0,414,free,0.0,414,20,0.0,0.0
9779,1122,Kasi Overton,Linux,0.0,1122,free,0.0,1122,29,0.0,0.0
9778,1122,Kasi Overton,Linux,0.0,1122,free,0.0,1122,45,0.0,0.0
10945,350,Arianne Fountain,Browser,0.0,350,free,0.0,350,20,0.0,0.0
4981,1584,Dominick Gates,Mac,0.0,1584,free,0.0,1584,59,0.0,0.0
4982,325,Pearl Barnett,Mac,0.0,325,free,0.0,325,59,0.0,0.0
9789,1249,Tonia Mcintosh,Linux,0.0,1249,free,0.0,1249,29,0.0,0.0
9774,1275,Keri Lackey,Linux,0.0,1275,free,0.0,1275,29,0.0,0.0
9818,1972,Jonas England,Linux,0.0,1972,free,0.0,1972,45,0.0,0.0
4967,2184,Joel Pratt,Mac,0.0,2184,free,0.0,2184,59,0.0,0.0
9804,1917,Bernarda Aguirre,Linux,0.0,1917,free,0.0,1917,29,0.0,0.0
9803,1917,Bernarda Aguirre,Linux,0.0,1917,free,0.0,1917,45,0.0,0.0
10883,388,Frank Hawk,Browser,0.0,388,free,0.0,388,20,0.0,0.0
4844,787,Ezra Fritz,Android,0.0,787,premium,0.0,787,52,0.0,0.0
9799,1553,Tennille Le,Linux,0.0,1553,free,0.0,1553,29,0.0,0.0
10890,957,Mariam Lund,Browser,0.0,957,free,0.0,957,37,0.0,0.0
9798,1553,Tennille Le,Linux,0.0,1553,free,0.0,1553,45,0.0,0.0
9813,368,Raymonde Underwood,Linux,0.0,368,free,0.0,368,45,0.0,0.0
10869,392,Kaye Randall,Browser,0.0,392,free,0.0,392,20,0.0,0.0
10893,957,Mariam Lund,Browser,0.0,957,free,0.0,957,16,0.0,0.0
10895,957,Mariam Lund,Browser,0.0,957,free,0.0,957,22,0.0,0.0
9814,368,Raymonde Underwood,Linux,0.0,368,free,0.0,368,29,0.0,0.0
4963,1652,Kemberly Ennis,Mac,0.0,1652,free,0.0,1652,59,0.0,0.0
9794,1188,Pennie Boston,Linux,0.0,1188,free,0.0,1188,29,0.0,0.0
9793,1188,Pennie Boston,Linux,0.0,1188,free,0.0,1188,45,0.0,0.0
10853,671,Erminia Helms,Browser,0.0,671,free,0.0,671,20,0.0,0.0
9662,561,Lang Dudley,Linux,0.0,561,free,0.0,561,45,0.0,0.0
9773,1275,Keri Lackey,Linux,0.0,1275,free,0.0,1275,45,0.0,0.0
9824,92,Lane Morales,Linux,0.0,92,free,0.0,92,29,0.0,0.0
9833,150,Arie Shultz,Linux,0.0,150,free,0.0,150,45,0.0,0.0
9834,150,Arie Shultz,Linux,0.0,150,free,0.0,150,29,0.0,0.0
9749,1476,Ludivina Minor,Linux,0.0,1476,free,0.0,1476,29,0.0,0.0
10991,1716,Amee Lee,Browser,0.0,1716,free,0.0,1716,20,0.0,0.0
9748,1476,Ludivina Minor,Linux,0.0,1476,free,0.0,1476,45,0.0,0.0
4218,265,Herminia Triplett,Browser,0.0,265,premium,0.0,265,59,0.0,0.0
9838,2198,Bao Bellamy,Linux,0.0,2198,free,0.0,2198,45,0.0,0.0
11007,1571,Lorrie Shipley,Browser,0.0,1571,free,0.0,1571,20,0.0,0.0
9839,2198,Bao Bellamy,Linux,0.0,2198,free,0.0,2198,29,0.0,0.0
9744,1484,Alysia Fenton,Linux,0.0,1484,free,0.0,1484,29,0.0,0.0
9743,1484,Alysia Fenton,Linux,0.0,1484,free,0.0,1484,45,0.0,0.0
389,763,Ashton Hardin,Windows,0.0,763,free,0.0,763,40,0.0,0.0
10801,421,Katrice Tatum,Browser,0.0,421,premium,0.0,421,59,0.0,0.0
9739,1522,Cathleen Quinn,Linux,0.0,1522,free,0.0,1522,29,0.0,0.0
243,322,Janey Anaya,Windows,0.0,322,free,0.0,322,59,0.0,0.0
378,749,Michal Sykes,Windows,0.0,749,premium,0.0,749,21,0.0,0.0
9823,92,Lane Morales,Linux,0.0,92,free,0.0,92,45,0.0,0.0
9753,1390,Tyron Golden,Linux,0.0,1390,free,0.0,1390,45,0.0,0.0
9754,1390,Tyron Golden,Linux,0.0,1390,free,0.0,1390,29,0.0,0.0
9769,1284,Milissa Toney,Linux,0.0,1284,free,0.0,1284,29,0.0,0.0
9768,1284,Milissa Toney,Linux,0.0,1284,free,0.0,1284,45,0.0,0.0
10590,1502,Heather Huddleston,Browser,0.0,1502,free,0.0,1502,20,0.0,0.0
4992,1215,Calvin Dias,Mac,0.0,1215,free,0.0,1215,59,0.0,0.0
9828,2223,Isaias Zeigler,Linux,0.0,2223,free,0.0,2223,45,0.0,0.0
9764,1310,Anjelica Simpson,Linux,0.0,1310,free,0.0,1310,29,0.0,0.0
9763,1310,Anjelica Simpson,Linux,0.0,1310,free,0.0,1310,45,0.0,0.0
9829,2223,Isaias Zeigler,Linux,0.0,2223,free,0.0,2223,29,0.0,0.0
10811,419,Carson Mayer,Browser,0.0,419,free,0.0,419,20,0.0,0.0
371,2187,Kelly Cottrell,Windows,0.0,2187,premium,0.0,2187,52,0.0,0.0
9759,1386,Zena Spivey,Linux,0.0,1386,free,0.0,1386,29,0.0,0.0
9758,1386,Zena Spivey,Linux,0.0,1386,free,0.0,1386,45,0.0,0.0
10961,1084,Otto Goldsmith,Browser,0.0,1084,free,0.0,1084,20,0.0,0.0
374,2193,Nicki Lindsey,Windows,0.0,2193,basic-desktop,0.0,2193,52,0.0,0.0
375,2042,Gabriel Velasco,Windows,0.0,2042,premium,0.0,2042,43,0.0,0.0
10975,1093,Yoko Snyder,Browser,0.0,1093,free,0.0,1093,20,0.0,0.0
11069,2142,Myriam Glover,Browser,0.0,2142,free,0.0,2142,20,0.0,0.0
9961,1837,Annalee Pugh,iOS,0.0,1837,premium,0.0,1837,59,0.0,0.0
9007,2302,Cliff Creech,other,0.0,2302,premium,0.0,2302,23,0.0,0.0
2631,2087,Cyrus Ramey,iOS,0.0,2087,premium,0.0,2087,44,0.0,0.0
11262,1849,Kaye Combs,Browser,0.0,1849,free,0.0,1849,20,0.0,0.0
2633,2087,Cyrus Ramey,iOS,0.0,2087,premium,0.0,2087,16,0.0,0.0
8745,1096,Shayla Bowie,other,0.0,1096,premium,0.0,1096,59,0.0,0.0
8781,711,Ginette Rowley,other,0.0,711,premium,0.0,711,59,0.0,0.0
11248,1884,Ilene Scott,Browser,0.0,1884,free,0.0,1884,20,0.0,0.0
2644,2087,Cyrus Ramey,iOS,0.0,2087,premium,0.0,2087,9,0.0,0.0
3424,1636,Marian Nash,Browser,0.0,1636,premium,0.0,1636,59,0.0,0.0
10646,614,Vernia Sousa,Browser,0.0,614,free,0.0,614,20,0.0,0.0
11231,1794,Kandis Funk,Browser,0.0,1794,free,0.0,1794,20,0.0,0.0
5278,2164,Angeline Joyce,Android,0.0,2164,free,0.0,2164,4,0.0,0.0
8923,2057,Carina Walls,other,0.0,2057,premium,0.0,2057,23,0.0,0.0
11216,124,Lindsey Stanford,Browser,0.0,124,free,0.0,124,20,0.0,0.0
10662,1688,Marjory Robinson,Browser,0.0,1688,free,0.0,1688,20,0.0,0.0
5603,730,Augustine Fay,iOS,0.0,730,premium,0.0,730,44,0.0,0.0
5607,2308,Gilma Covington,iOS,0.0,2308,premium,0.0,2308,44,0.0,0.0
11202,1789,Tamesha Blanco,Browser,0.0,1789,free,0.0,1789,20,0.0,0.0
6131,305,Minh Beverly,Android,0.0,305,free,0.0,305,47,0.0,0.0
9033,308,Haley Fitzgerald,other,0.0,308,premium,0.0,308,59,0.0,0.0
11169,1888,Brigida Ambrose,Browser,0.0,1888,free,0.0,1888,20,0.0,0.0
11175,2014,Perry Montoya,Browser,0.0,2014,free,0.0,2014,22,0.0,0.0
10691,1700,Juli Mcmahan,Browser,0.0,1700,free,0.0,1700,20,0.0,0.0
11177,1879,Shanae Corbett,Browser,0.0,1879,free,0.0,1879,23,0.0,0.0
2630,2087,Cyrus Ramey,iOS,0.0,2087,premium,0.0,2087,52,0.0,0.0
10678,613,Malia Stover,Browser,0.0,613,free,0.0,613,20,0.0,0.0
80,822,Sheree Bennett,Windows,0.0,822,premium,0.0,822,59,0.0,0.0
11187,1743,Kimberely Hutchison,Browser,0.0,1743,free,0.0,1743,20,0.0,0.0
11192,1749,Mikki Patel,Browser,0.0,1749,free,0.0,1749,44,0.0,0.0
5640,1404,Tennille Conway,iOS,0.0,1404,premium,0.0,1404,44,0.0,0.0
10001,664,Johnetta Buck,iOS,0.0,664,premium,0.0,664,52,0.0,0.0
9001,2302,Cliff Creech,other,0.0,2302,premium,0.0,2302,59,0.0,0.0
3901,2244,Elinore Aguirre,Browser,0.0,2244,premium,0.0,2244,59,0.0,0.0
11153,1950,Darlena Cardwell,Browser,0.0,1950,free,0.0,1950,20,0.0,0.0
2629,2087,Cyrus Ramey,iOS,0.0,2087,premium,0.0,2087,49,0.0,0.0
11277,690,Tracey Lackey,Browser,0.0,690,free,0.0,690,20,0.0,0.0
10575,598,Judie Friedman,Browser,0.0,598,free,0.0,598,20,0.0,0.0
7260,499,Anne Carey,iOS,0.0,499,premium,0.0,499,52,0.0,0.0
10597,1538,Jaye Velasco,Browser,0.0,1538,free,0.0,1538,37,0.0,0.0
4,189,Ignacia Keen,Windows,0.0,189,premium,0.0,189,52,0.0,0.0
5,189,Ignacia Keen,Browser,0.0,189,premium,0.0,189,52,0.0,0.0
6,926,Traci Caudill,Windows,0.0,926,free,0.0,926,23,0.0,0.0
8,37,Eun Hull,Windows,0.0,37,free,0.0,37,59,0.0,0.0
10599,1538,Jaye Velasco,Browser,0.0,1538,free,0.0,1538,16,0.0,0.0
10600,1538,Jaye Velasco,Browser,0.0,1538,free,0.0,1538,22,0.0,0.0
10604,1240,Tenisha Rader,Browser,0.0,1240,free,0.0,1240,22,0.0,0.0
12,980,Voncile Simon,Windows,0.0,980,free,0.0,980,59,0.0,0.0
17,1026,Meri Hilliard,Windows,0.0,1026,premium,0.0,1026,21,0.0,0.0
19,1043,Jeanie Baldwin,Windows,0.0,1043,free,0.0,1043,59,0.0,0.0
21,1068,Lesli Bronson,Windows,0.0,1068,free,0.0,1068,59,0.0,0.0
22,1807,Fredericka Nielson,Windows,0.0,1807,free,0.0,1807,21,0.0,0.0
23,1153,Florentino Proctor,Windows,0.0,1153,premium,0.0,1153,52,0.0,0.0
10614,702,Liana Barrett,Browser,0.0,702,free,0.0,702,20,0.0,0.0
10630,1599,Syble Shuler,Browser,0.0,1599,free,0.0,1599,20,0.0,0.0
3532,495,Ellyn Stringer,Browser,0.0,495,premium,0.0,495,59,0.0,0.0
11290,536,Benjamin Welch,Browser,0.0,536,free,0.0,536,20,0.0,0.0
2622,2087,Cyrus Ramey,iOS,0.0,2087,premium,0.0,2087,15,0.0,0.0
8661,287,Hilario Carlton,other,0.0,287,premium,0.0,287,52,0.0,0.0
2596,2087,Cyrus Ramey,other,0.0,2087,premium,0.0,2087,9,0.0,0.0
10541,234,Daine Morgan,Browser,0.0,234,free,0.0,234,37,0.0,0.0
2585,2087,Cyrus Ramey,other,0.0,2087,premium,0.0,2087,16,0.0,0.0
2582,2087,Cyrus Ramey,other,0.0,2087,premium,0.0,2087,52,0.0,0.0
2581,2087,Cyrus Ramey,other,0.0,2087,premium,0.0,2087,49,0.0,0.0
2574,2087,Cyrus Ramey,other,0.0,2087,premium,0.0,2087,15,0.0,0.0
10545,234,Daine Morgan,Browser,0.0,234,free,0.0,234,22,0.0,0.0
1858,996,Gerry Trent,Mac,0.0,996,premium,0.0,996,52,0.0,0.0
10558,1492,Tracy Pennington,Browser,0.0,1492,free,0.0,1492,37,0.0,0.0
2583,2087,Cyrus Ramey,other,0.0,2087,premium,0.0,2087,44,0.0,0.0
92,2134,Irving Langston,Windows,0.0,2134,premium,0.0,2134,15,0.0,0.0
9808,1237,Stanford Coyle,Linux,0.0,1237,free,0.0,1237,45,0.0,0.0
9448,63,Fritz Vann,Browser,0.0,63,free,0.0,63,28,0.0,0.0
10009,1581,Trista Magana,iOS,0.0,1581,premium,0.0,1581,44,0.0,0.0
11098,2228,Fe Jarrett,Browser,0.0,2228,free,0.0,2228,37,0.0,0.0
10719,315,Ernesto Ham,Browser,0.0,315,premium,0.0,315,59,0.0,0.0
11100,2228,Fe Jarrett,Browser,0.0,2228,free,0.0,2228,16,0.0,0.0
11133,15,Louanne Finn,Browser,0.0,15,free,0.0,15,20,0.0,0.0
11101,2228,Fe Jarrett,Browser,0.0,2228,free,0.0,2228,22,0.0,0.0
6200,1994,Breanne Emerson,Android,0.0,1994,premium,0.0,1994,8,0.0,0.0
6202,662,Bobbie Adcock,Android,0.0,662,premium,0.0,662,8,0.0,0.0
11095,2192,Thresa Tracy,Browser,0.0,2192,free,0.0,2192,22,0.0,0.0
6209,747,Garret Jacobsen,Android,0.0,747,free,0.0,747,1,0.0,0.0
9458,63,Fritz Vann,Browser,0.0,63,free,0.0,63,30,0.0,0.0
11117,17,Gisela Barnard,Browser,0.0,17,free,0.0,17,20,0.0,0.0
9452,63,Fritz Vann,Browser,0.0,63,free,0.0,63,4,0.0,0.0
9056,1732,Jenee Ellsworth,iOS,0.0,1732,premium,0.0,1732,52,0.0,0.0
120,2134,Irving Langston,Android,0.0,2134,premium,0.0,2134,44,0.0,0.0
119,2134,Irving Langston,Android,0.0,2134,premium,0.0,2134,52,0.0,0.0
114,2134,Irving Langston,Android,0.0,2134,premium,0.0,2134,15,0.0,0.0
6212,747,Garret Jacobsen,Android,0.0,747,free,0.0,747,10,0.0,0.0
6210,747,Garret Jacobsen,Android,0.0,747,free,0.0,747,60,0.0,0.0
9447,63,Fritz Vann,Browser,0.0,63,free,0.0,63,37,0.0,0.0
10008,2179,Anette Leon,iOS,0.0,2179,premium,0.0,2179,59,0.0,0.0
6136,305,Minh Beverly,Android,0.0,305,free,0.0,305,40,0.0,0.0
9658,593,Essie Steward,Linux,0.0,593,free,0.0,593,29,0.0,0.0
9657,593,Essie Steward,Linux,0.0,593,free,0.0,593,45,0.0,0.0
6133,305,Minh Beverly,Android,0.0,305,free,0.0,305,29,0.0,0.0
6193,903,Willene Raymond,Android,0.0,903,free,0.0,903,47,0.0,0.0
10707,209,Karma Nichols,Browser,0.0,209,free,0.0,209,20,0.0,0.0
97,2134,Irving Langston,Windows,0.0,2134,premium,0.0,2134,52,0.0,0.0
98,2134,Irving Langston,Windows,0.0,2134,premium,0.0,2134,44,0.0,0.0
10002,1869,Rafael Bouchard,iOS,0.0,1869,premium,0.0,1869,52,0.0,0.0
6252,2063,Madge Yoder,iOS,0.0,2063,premium,0.0,2063,52,0.0,0.0
10713,1230,Maia Coffman,Browser,0.0,1230,free,0.0,1230,37,0.0,0.0
496,833,Lee Lombardo,Windows,0.0,833,premium,0.0,833,59,0.0,0.0
11085,40,Tomi Stubbs,Browser,0.0,40,free,0.0,40,20,0.0,0.0
11091,2192,Thresa Tracy,Browser,0.0,2192,free,0.0,2192,37,0.0,0.0
494,806,Mariel Palacios,Windows,0.0,806,premium,0.0,806,52,0.0,0.0
6245,994,Sharilyn Workman,iOS,0.0,994,premium,0.0,994,44,0.0,0.0
6244,994,Sharilyn Workman,iOS,0.0,994,premium,0.0,994,52,0.0,0.0
493,1971,Reina Fitzpatrick,Windows,0.0,1971,free,0.0,1971,59,0.0,0.0
10005,1524,Freddie Summers,iOS,0.0,1524,premium,0.0,1524,52,0.0,0.0
10003,146,Marhta Black,iOS,0.0,146,premium,0.0,146,52,0.0,0.0
6211,747,Garret Jacobsen,Android,0.0,747,free,0.0,747,20,0.0,0.0
10898,957,Mariam Lund,Browser,0.0,957,free,0.0,957,43,1.12824515e-316,3.7608173e-317
8811,1357,Julie Laws,other,0.0,1357,premium,2.566121927533e-312,1357,59,0.0,8.55373975843e-313
5042,174,Edythe Lam,Browser,0.0,174,free,1.1566382863137e-311,174,52,0.0,3.85546095438e-312
427,763,Ashton Hardin,Android,1.934943988788e-311,763,free,0.0,763,40,0.0,6.44981329596e-312
453,763,Ashton Hardin,Android,1.934943988788e-311,763,free,0.0,763,7,0.0,6.44981329596e-312
10010,1958,Magdalen Coats,iOS,0.0,1958,premium,6.799607089683201e-306,1958,52,0.0,2.2665356965610672e-306
6198,2171,Ernesto Woodward,Android,0.0,2171,free,1.64380841092974e-305,2171,7,0.0,5.4793613697658e-306
9315,232,Lyndia Serrano,iOS,7.810097631657765e-304,232,premium,0.0,232,52,0.0,2.6033658772192553e-304
2944,2035,Faustina Lucas,Browser,1.841443125462789e-299,2035,premium,0.0,2035,59,0.0,6.13814375154263e-300
10563,1492,Tracy Pennington,Browser,0.0,1492,free,0.0,1492,22,1.1157751872141876e-297,3.719250624047292e-298
491,763,Ashton Hardin,other,2.516563380561829e-295,763,free,0.0,763,7,0.0,8.388544601872763e-296
465,763,Ashton Hardin,other,2.516563380561829e-295,763,free,0.0,763,40,0.0,8.388544601872763e-296
9054,1732,Jenee Ellsworth,other,1.0534427749046194e-290,1732,premium,0.0,1732,52,0.0,3.511475916348731e-291
10013,32,Yesenia Pope,iOS,1.6749997054912892e-286,32,premium,0.0,32,52,0.0,5.58333235163763e-287
6478,1426,Alethia Milton,other,3.0205813539889887e-284,1426,premium,5.599835973e-315,1426,8,0.0,1.0068604513296628e-284
6461,1426,Alethia Milton,other,3.0205813539889887e-284,1426,premium,5.599835973e-315,1426,40,0.0,1.0068604513296628e-284
6466,1426,Alethia Milton,other,3.0205813539889887e-284,1426,premium,5.599835973e-315,1426,3,0.0,1.0068604513296628e-284
8995,2302,Cliff Creech,other,0.0,2302,premium,0.0,2302,3,6.108419744286035e-278,2.036139914762012e-278
6232,2133,Dewey Malloy,Android,1.7230322782558789e-286,2133,free,1.0516604391126759e-275,2133,21,0.0,3.5055347970996877e-276
10000,1861,Lino Page,iOS,0.0,1861,premium,4.542531124535222e-275,1861,59,0.0,1.5141770415117408e-275
6233,2275,Nellie Piper,Android,5.149251837056897e-275,2275,premium,0.0,2275,52,0.0,1.7164172790189656e-275
10560,1492,Tracy Pennington,Browser,0.0,1492,free,0.0,1492,16,5.523665223744007e-273,1.8412217412480025e-273
9050,507,Jesica Pendleton,other,1.5491709493e-314,507,premium,7.103084136222324e-271,507,52,0.0,2.367694712074108e-271
4979,1152,Erick Ponder,Mac,0.0,1152,free,1.721622913360182e-270,1152,59,0.0,5.738743044533939e-271
2645,2087,Cyrus Ramey,iOS,0.0,2087,premium,0.0,2087,53,1.6713004327945336e-266,5.5710014426484455e-267
2597,2087,Cyrus Ramey,other,0.0,2087,premium,0.0,2087,53,1.6713004327945336e-266,5.5710014426484455e-267
620,399,Sari Ziegler,Windows,1.2387921647200593e-265,399,premium,0.0,399,52,0.0,4.129307215733531e-266
621,2048,Melvina Hurst,Windows,4.6623962899037276e-265,2048,free,0.0,2048,20,0.0,1.554132096634576e-265
250,297,Lenita Beaulieu,Windows,0.0,297,premium,0.0,297,1,2.183595669263189e-264,7.278652230877297e-265
6240,1512,Allyson Ball,Android,2.2293889265397486e-264,1512,premium,0.0,1512,52,6.189022797213987e-280,7.431296421799163e-265
5031,621,Tran Benavides,Mac,1.1428459881811693e-263,621,free,0.0,621,22,0.0,3.8094866272705645e-264
10635,1681,Merilyn Downey,Browser,0.0,1681,free,8.737695182688787e-263,1681,59,1.314e-321,2.9125650608962624e-263
373,280,Christi Busch,Windows,0.0,280,premium,1.3191796304729465e-261,280,23,0.0,4.3972654349098216e-262
5135,1432,Waylon Hatcher,iOS,1.4519783776734393e-259,1432,free,0.0,1432,52,0.0,4.839927925578131e-260
6230,1563,Estefana Crook,Android,6.116131500065987e-299,1563,free,2.020464274709379e-257,1563,47,0.0,6.73488091569793e-258
13,995,Donn Cheney,Windows,0.0,995,free,6.921028718485818e-253,995,52,0.0,2.307009572828606e-253
9004,2302,Cliff Creech,other,0.0,2302,premium,0.0,2302,8,3.948509045905309e-251,1.3161696819684363e-251
617,1231,Valentina Ham,Windows,3.741894625621568e-279,1231,premium,2.828880288387217e-250,1231,21,0.0,9.429600961290724e-251
10021,1016,Rufina Naquin,iOS,4.729423779100248e-250,1016,premium,9.21507e-319,1016,52,0.0,1.576474593033416e-250
624,862,Tamesha Hinton,Windows,1.0541905091132494e-248,862,premium,0.0,862,8,0.0,3.513968363710831e-249
